451,-2121735
452,-44387
453,-73074
454,-92645
455,-51551
456,-30351
457,-46027
458,-76980
459,-78151
460,-36754
461,-52406
462,-72367
463,-64762
464,-25035
465,-35761
466,-58844
467,-80952
468,-35973
469,-48308
470,-63632
471,-73206
472,-32642
473,-30806
474,-49521
475,-87049
476,-47014
477,-42326
478,-66424
479,-80048
480,-49856
481,-25222
482,-40338
483,-73557
484,-60121
485,-34834
486,-59867
487,-82664
488,-67696
489,-22139
490,-34524
491,-57075
492,-76407
493,-36763
494,-48229
495,-70959
496,-81981
497,-29967
498,-28537
499,-44742
500,-80957
501,-46811
502,-36672
503,-55333
504,-76912
505,-50251
506,-26909
507,-41474
508,-78478
509,-69963
510,-34274
511,-60036
512,-78197
513,-73233
514,-24806
515,-34110
516,-62887
517,-82459
518,-34170
519,-49356
520,-66822
521,-78100
522,-29751
523,-28427
524,-45652
525,-81088
526,-48224
527,-39214
528,-63460
529,-82257
530,-44203
531,-22611
532,-37702
533,-67320
534,-69024
535,-32192
536,-49773
537,-68699
538,-66254
539,-24232
540,-34006
541,-57680
542,-80959
543,-34845
544,-44727
545,-60593
546,-72958
547,-32422
548,-28711
549,-48076
550,-88174
551,-44457
552,-39772
553,-64286
554,-75976
555,-46892
556,-22602
557,-36682
558,-69922
559,-61018
560,-32081
561,-53120
562,-82576
563,-66801
564,-19641
565,-31202
566,-54197
567,-81754
568,-37714
569,-43354
570,-65373
571,-77118
572,-31387
573,-28014
574,-45019
575,-81782
576,-50215
577,-37496
578,-57864
579,-73469
580,-47764
581,-26909
582,-42066
583,-79000
584,-70269
585,-34864
586,-62018
587,-69997
588,-62909
589,-24741
590,-34592
591,-62731
592,-85015
593,-36155
594,-49175
595,-68596
596,-78781
597,-29946
598,-28646
599,-46222
600,-84589
601,-49659
602,-39912
603,-66057
604,-86771
605,-45142
606,-23246
607,-39218
608,-69779
609,-71511
610,-35312
611,-54961
612,-74386
613,-66384
614,-25114
615,-35715
616,-58284
617,-88722
618,-38967
619,-45237
620,-60448
621,-80387
622,-36277
623,-30631
624,-48256
625,-88470
626,-50441
627,-40722
628,-65036
629,-78499
630,-52024
631,-25901
632,-40505
633,-82174
634,-70612
635,-34951
636,-60309
637,-73091
638,-67559
639,-24305
640,-34081
641,-59360
642,-83112
643,-37966
644,-50339
645,-73666
646,-85596
647,-29759
648,-28068
649,-44587
650,-83744
651,-54547
652,-37102
653,-58657
654,-80784
655,-48856
656,-25677
657,-40841
658,-74710
659,-75583
660,-34506
661,-52291
662,-67877
663,-64687
664,-26042
665,-35854
666,-58698
667,-81327
668,-36476
